id,ping,download,upload,server_id,server_name,server_host,url,scheduled,failed,created_at,updated_at
605,4.9,173.781592,357.543496,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/744c7db9-88b5-4686-a665-4b3e2f4acde3,1,0,"2022-01-18 21:08:21","2022-01-18 21:08:21"
606,0.0,0.0,0.0,,,,,1,1,"2022-01-18 21:10:09","2022-01-18 21:10:09"
607,4.412,191.273328,357.364256,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/690a9baa-09b0-4076-8c5e-1e55e79858fa,1,0,"2022-01-18 21:12:26","2022-01-18 21:12:26"
608,4.839,210.905536,357.452936,4920,"Norwood Light Broadband",speedtest.norwoodlight.com:8080,https://www.speedtest.net/result/c/d880ce2a-d412-4b6d-9607-80c5a3327d1f,1,0,"2022-01-18 21:14:29","2022-01-18 21:14:29"
609,4.935,149.947056,357.677952,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/cad35f10-f5a3-4290-bbd8-f5e20bd70632,1,0,"2022-01-18 21:16:25","2022-01-18 21:16:25"
610,6.069,167.241152,356.815208,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/7b0b0ac4-027c-4c1f-9e88-215704d9d0bc,1,0,"2022-01-18 21:18:31","2022-01-18 21:18:31"
611,4.53,164.606888,356.384128,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/370ef11b-e5eb-4073-932b-72dafe2b6576,1,0,"2022-01-18 21:46:23","2022-01-18 21:46:23"
612,4.982,205.988544,357.310232,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/27d97816-2659-4e3d-85bd-a8a47cc6d672,1,0,"2022-01-18 21:48:30","2022-01-18 21:48:30"
613,4.68,175.40728,356.954704,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/bfc149ac-17a8-4dd4-aa56-35184c493234,1,0,"2022-01-18 21:50:25","2022-01-18 21:50:25"
614,5.183,176.557768,356.664032,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/09f3930d-1660-481a-b4df-7d9fbcd17a30,1,0,"2022-01-18 21:52:31","2022-01-18 21:52:31"
615,4.671,164.11592,358.327512,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/468b0b12-b28a-43f3-8561-a8ac88d14db5,1,0,"2022-01-18 21:54:25","2022-01-18 21:54:25"
616,8.138,180.920944,357.9698,4981,SELCO,speedtest.townisp.com:8080,https://www.speedtest.net/result/c/e0ef3e5b-49fa-4bcb-9d33-73f76a3073b4,1,0,"2022-01-18 21:56:24","2022-01-18 21:56:24"
617,4.347,201.176656,357.186448,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/1ef81c99-72c5-4170-89a7-8e837ff98b6a,1,0,"2022-01-18 21:58:26","2022-01-18 21:58:26"
